Date,Close,Open,High,Low,Vol.,Change %
"Mar 06, 2013",7699,"7,719.79","7,748.69","7,689.21",42.66M,-0.26%
"Mar 07, 2013",7709,"7,700.40","7,720.51","7,682.30",39.24M,0.13%
"Mar 08, 2013",7745,"7,730.28","7,776.00","7,722.38",48.96M,0.47%
"Mar 11, 2013",7759,"7,732.58","7,760.22","7,720.42",32.29M,0.18%
"Mar 12, 2013",7803,"7,749.23","7,806.61","7,746.51",33.53M,0.57%
"Mar 13, 2013",7781,"7,799.38","7,801.60","7,758.12",45.63M,-0.28%
"Mar 14, 2013",7843,"7,806.81","7,845.34","7,802.14",54.48M,0.80%
"Mar 15, 2013",7864,"7,859.51","7,874.21","7,829.57",100.92M,0.27%
"Mar 18, 2013",7830,"7,774.42","7,842.41","7,770.35",43.30M,-0.43%
"Mar 19, 2013",7790,"7,814.26","7,842.59","7,777.83",45.68M,-0.52%
"Mar 20, 2013",7848,"7,820.31","7,862.64","7,813.96",40.12M,0.75%
"Mar 21, 2013",7762,"7,855.35","7,858.44","7,757.09",37.48M,-1.09%
"Mar 22, 2013",7744,"7,752.03","7,777.91","7,720.82",36.29M,-0.23%
"Mar 25, 2013",7758,"7,787.82","7,812.40","7,750.10",39.82M,0.18%
"Mar 26, 2013",7800,"7,766.20","7,807.35","7,741.21",34.77M,0.54%
"Mar 27, 2013",7780,"7,817.53","7,821.66","7,724.11",38.78M,-0.25%
"Mar 28, 2013",7814,"7,790.96","7,840.98","7,781.09",34.97M,0.43%
"Apr 02, 2013",7899,"7,801.17","7,913.73","7,800.38",42.88M,1.10%
"Apr 03, 2013",7875,"7,900.29","7,946.86","7,869.51",38.93M,-0.31%
"Apr 04, 2013",7763,"7,890.13","7,892.95","7,753.00",42.23M,-1.43%
"Apr 05, 2013",7641,"7,767.29","7,769.06","7,596.93",51.86M,-1.57%
"Apr 08, 2013",7692,"7,648.35","7,710.62","7,640.22",38.31M,0.66%
"Apr 09, 2013",7654,"7,725.09","7,731.27","7,638.67",46.33M,-0.49%
"Apr 10, 2013",7771,"7,671.53","7,783.19","7,670.19",44.07M,1.53%
"Apr 11, 2013",7815,"7,770.97","7,825.37","7,767.41",40.51M,0.57%
"Apr 12, 2013",7761,"7,800.44","7,813.96","7,734.63",47.10M,-0.70%
"Apr 15, 2013",7755,"7,744.18","7,764.88","7,682.32",43.87M,-0.08%
